Year,Kid total,Poor kid total,Poor kid percent,Fam kid total,Poor fam kid total,Poor fam kid percent,Middle total,Poor middle total,Poor middle percent,Old total,Poor old total,Poor old percent
ALL RACES,,,,,,,,,,,,
2021,"72,936","11,149",15.3,"72,129","10,796",15,"199,062","20,982",10.5,"56,193","5,802",10.3
20201,"73,541","11,789",16,"72,755","11,439",15.7,"199,753","20,907",10.5,"54,276","4,852",8.9
2019,"72,637","10,466",14.4,"71,854","10,165",14.1,"197,475","18,660",9.4,"54,642","4,858",8.9
2018,"73,284","11,869",16.2,"72,425","11,491",15.9,"197,775","21,130",10.7,"52,788","5,146",9.7
20172,"73,470","12,759",17.4,"72,612","12,358",17,"198,012","21,913",11.1,"51,066","4,893",9.6
2017,"73,356","12,808",17.5,"72,532","12,439",17.1,"198,113","22,209",11.2,"51,080","4,681",9.2
2016,"73,586","13,253",18,"72,674","12,803",17.6,"197,051","22,795",11.6,"49,274","4,568",9.3
2015,"73,647","14,509",19.7,"72,558","13,962",19.2,"197,260","24,414",12.4,"47,547","4,201",8.8
2014,"73,556","15,540",21.1,"72,383","14,987",20.7,"196,254","26,527",13.5,"45,994","4,590",10
20133,"73,439","15,801",21.5,"72,246","15,116",20.9,"194,694","25,899",13.3,"44,963","4,569",10.2
20134,"73,625","14,659",19.9,"72,573","14,142",19.5,"194,833","26,429",13.6,"44,508","4,231",9.5
2012,"73,719","16,073",21.8,"72,545","15,437",21.3,"193,642","26,497",13.7,"43,287","3,926",9.1
2011,"73,737","16,134",21.9,"72,568","15,539",21.4,"193,213","26,492",13.7,"41,507","3,620",8.7
20105,"73,873","16,286",22,"72,581","15,598",21.5,"192,481","26,499",13.8,"39,777","3,558",8.9
2009,"74,579","15,451",20.7,"73,410","14,774",20.1,"190,627","24,684",12.9,"38,613","3,433",8.9
2008,"74,068","14,068",19,"72,980","13,507",18.5,"189,185","22,105",11.7,"37,788","3,656",9.7
2007,"73,996","13,324",18,"72,792","12,802",17.6,"187,913","20,396",10.9,"36,790","3,556",9.7
2006,"73,727","12,827",17.4,"72,609","12,299",16.9,"186,688","20,239",10.8,"36,035","3,394",9.4
2005,"73,285","12,896",17.6,"72,095","12,335",17.1,"184,345","20,450",11.1,"35,505","3,603",10.1
20046,"73,241","13,041",17.8,"72,133","12,473",17.3,"182,166","20,545",11.3,"35,209","3,453",9.8
2003,"72,999","12,866",17.6,"71,907","12,340",17.2,"180,041","19,443",10.8,"34,659","3,552",10.2
2002,"72,696","12,133",16.7,"71,619","11,646",16.3,"178,388","18,861",10.6,"34,234","3,576",10.4
2001,"72,021","11,733",16.3,"70,950","11,175",15.8,"175,685","17,760",10.1,"33,769","3,414",10.1
20007,"71,741","11,587",16.2,"70,538","11,005",15.6,"173,638","16,671",9.6,"33,566","3,323",9.9
19998,"71,685","12,280",17.1,"70,424","11,678",16.6,"171,146","17,289",10.1,"33,377","3,222",9.7
1998,"71,338","13,467",18.9,"70,253","12,845",18.3,"167,327","17,623",10.5,"32,394","3,386",10.5
1997,"71,069","14,113",19.9,"69,844","13,422",19.2,"165,329","18,085",10.9,"32,082","3,376",10.5
1996,"70,650","14,463",20.5,"69,411","13,764",19.8,"163,691","18,638",11.4,"31,877","3,428",10.8
19959,"70,566","14,665",20.8,"69,425","13,999",20.2,"161,508","18,442",11.4,"31,658","3,318",10.5
199410,"70,020","15,289",21.8,"68,819","14,610",21.2,"160,329","19,107",11.9,"31,267","3,663",11.7
199311,"69,292","15,727",22.7,"68,040","14,961",22,"159,208","19,781",12.4,"30,779","3,755",12.2
199212,"68,440","15,294",22.3,"67,256","14,521",21.6,"157,680","18,793",11.9,"30,430","3,928",12.9
199113,"65,918","14,341",21.8,"64,800","13,658",21.1,"154,684","17,586",11.4,"30,590","3,781",12.4
1990,"65,049","13,431",20.6,"63,908","12,715",19.9,"153,502","16,496",10.7,"30,093","3,658",12.2
1989,"64,144","12,590",19.6,"63,225","12,001",19,"152,282","15,575",10.2,"29,566","3,363",11.4
198814,"63,747","12,455",19.5,"62,906","11,935",19,"150,761","15,809",10.5,"29,022","3,481",12
198714,"63,294","12,843",20.3,"62,423","12,275",19.7,"149,201","15,815",10.6,"28,487","3,563",12.5
1986,"62,948","12,876",20.5,"62,009","12,257",19.8,"147,631","16,017",10.8,"27,975","3,477",12.4
198515,"62,876","13,010",20.7,"62,019","12,483",20.1,"146,396","16,598",11.3,"27,322","3,456",12.6
198416,"62,447","13,420",21.5,"61,681","12,929",21,"144,551","16,952",11.7,"26,818","3,330",12.4
1983,"62,334","13,911",22.3,"61,578","13,427",21.8,"143,052","17,767",12.4,"26,313","3,625",13.8
1982,"62,345","13,647",21.9,"61,565","13,139",21.3,"141,328","17,000",12,"25,738","3,751",14.6
198117,"62,449","12,505",20,"61,756","12,068",19.5,"139,477","15,464",11.1,"25,231","3,853",15.3
1980,"62,914","11,543",18.3,"62,168","11,114",17.9,"137,428","13,858",10.1,"24,686","3,871",15.7
197918,"63,375","10,377",16.4,"62,646","9,993",16,"135,333","12,014",8.9,"24,194","3,682",15.2
1978,"62,311","9,931",15.9,"61,987","9,722",15.7,"130,169","11,332",8.7,"23,175","3,233",14
1977,"63,137","10,288",16.2,"62,823","10,028",16,"128,262","11,316",8.8,"22,468","3,177",14.1
1976,"64,028","10,273",16,"63,729","10,081",15.8,"126,175","11,389",9,"22,100","3,313",15
1975,"65,079","11,104",17.1,"64,750","10,882",16.8,"124,122","11,456",9.2,"21,662","3,317",15.3
197419,"66,134","10,156",15.4,"65,802","9,967",15.1,"122,101","10,132",8.3,"21,127","3,085",14.6
1973,"66,959","9,642",14.4,"66,626","9,453",14.2,"120,060","9,977",8.3,"20,602","3,354",16.3
197220,"67,930","10,284",15.1,"67,592","10,082",14.9,"117,957","10,438",8.8,"20,117","3,738",18.6
197121,"68,816","10,551",15.3,"68,474","10,344",15.1,"115,911","10,735",9.3,"19,827","4,273",21.6
1970,"69,159","10,440",15.1,"68,815","10,235",14.9,"113,554","10,187",9,"19,470","4,793",24.6
